2023-08-08 19:48:29,671 INFO    StreamThr :16894 [internal.py:wandb_internal():86] W&B internal server running at pid: 16894, started at: 2023-08-08 19:48:29.670395
2023-08-08 19:48:29,675 DEBUG   HandlerThread:16894 [handler.py:handle_request():144] handle_request: status
2023-08-08 19:48:29,677 INFO    WriterThread:16894 [datastore.py:open_for_write():85] open: /home/harry/swin/SSLTransformerRS/wandb/run-20230808_194829-ciziosj3/run-ciziosj3.wandb
2023-08-08 19:48:29,678 DEBUG   SenderThread:16894 [sender.py:send():375] send: header
2023-08-08 19:48:29,685 DEBUG   SenderThread:16894 [sender.py:send():375] send: run
2023-08-08 19:48:30,359 INFO    SenderThread:16894 [dir_watcher.py:__init__():219] watching files in: /home/harry/swin/SSLTransformerRS/wandb/run-20230808_194829-ciziosj3/files
2023-08-08 19:48:30,359 INFO    SenderThread:16894 [sender.py:_start_run_threads():1124] run started: ciziosj3 with start time 1691488109.670631
2023-08-08 19:48:30,359 DEBUG   SenderThread:16894 [sender.py:send_request():402] send_request: summary_record
2023-08-08 19:48:30,359 INFO    SenderThread:16894 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-08-08 19:48:30,360 DEBUG   HandlerThread:16894 [handler.py:handle_request():144] handle_request: check_version
2023-08-08 19:48:30,360 DEBUG   SenderThread:16894 [sender.py:send_request():402] send_request: check_version
2023-08-08 19:48:30,448 DEBUG   HandlerThread:16894 [handler.py:handle_request():144] handle_request: run_start
2023-08-08 19:48:30,449 DEBUG   HandlerThread:16894 [system_info.py:__init__():31] System info init
2023-08-08 19:48:30,449 DEBUG   HandlerThread:16894 [system_info.py:__init__():46] System info init done
2023-08-08 19:48:30,449 INFO    HandlerThread:16894 [system_monitor.py:start():181] Starting system monitor
2023-08-08 19:48:30,449 INFO    SystemMonitor:16894 [system_monitor.py:_start():145] Starting system asset monitoring threads
2023-08-08 19:48:30,449 INFO    HandlerThread:16894 [system_monitor.py:probe():201] Collecting system info
2023-08-08 19:48:30,449 INFO    SystemMonitor:16894 [interfaces.py:start():190] Started cpu monitoring
2023-08-08 19:48:30,450 INFO    SystemMonitor:16894 [interfaces.py:start():190] Started disk monitoring
2023-08-08 19:48:30,451 INFO    SystemMonitor:16894 [interfaces.py:start():190] Started memory monitoring
2023-08-08 19:48:30,452 INFO    SystemMonitor:16894 [interfaces.py:start():190] Started network monitoring
2023-08-08 19:48:30,453 DEBUG   HandlerThread:16894 [system_info.py:probe():195] Probing system
2023-08-08 19:48:30,455 DEBUG   HandlerThread:16894 [system_info.py:_probe_git():180] Probing git
2023-08-08 19:48:30,461 DEBUG   HandlerThread:16894 [system_info.py:_probe_git():188] Probing git done
2023-08-08 19:48:30,462 DEBUG   HandlerThread:16894 [system_info.py:probe():240] Probing system done
