2023-07-26 12:09:21,939 INFO    wandb-upload_0:8884 [upload_job.py:push():137] Uploaded file /tmp/tmp2lg78tx3wandb/8whtcynt-wandb-metadata.json
2023-07-26 12:09:22,013 INFO    Thread-12 :8884 [dir_watcher.py:_on_file_created():278] file/dir created: /home/harry/swin/SSLTransformerRS/wandb/run-20230726_120916-s2vnsohr/files/wandb-metadata.json
2023-07-26 12:09:22,013 INFO    Thread-12 :8884 [dir_watcher.py:_on_file_created():278] file/dir created: /home/harry/swin/SSLTransformerRS/wandb/run-20230726_120916-s2vnsohr/files/output.log
2023-07-26 12:09:22,425 DEBUG   HandlerThread:8884 [handler.py:handle_request():144] handle_request: status_report
2023-07-26 12:09:24,014 INFO    Thread-12 :8884 [dir_watcher.py:_on_file_modified():295] file/dir modified: /home/harry/swin/SSLTransformerRS/wandb/run-20230726_120916-s2vnsohr/files/output.log
2023-07-26 12:09:25,271 DEBUG   SenderThread:8884 [sender.py:send():375] send: exit
2023-07-26 12:09:25,272 INFO    SenderThread:8884 [sender.py:send_exit():598] handling exit code: 1
2023-07-26 12:09:25,272 INFO    SenderThread:8884 [sender.py:send_exit():600] handling runtime: 7
2023-07-26 12:09:25,273 INFO    SenderThread:8884 [sender.py:_save_file():1378] saving file wandb-summary.json with policy end
2023-07-26 12:09:25,273 INFO    SenderThread:8884 [sender.py:send_exit():606] send defer
2023-07-26 12:09:25,273 DEBUG   HandlerThread:8884 [handler.py:handle_request():144] handle_request: defer
2023-07-26 12:09:25,273 INFO    HandlerThread:8884 [handler.py:handle_request_defer():170] handle defer: 0
2023-07-26 12:09:25,273 DEBUG   SenderThread:8884 [sender.py:send_request():402] send_request: defer
2023-07-26 12:09:25,273 INFO    SenderThread:8884 [sender.py:send_request_defer():622] handle sender defer: 0
2023-07-26 12:09:25,273 INFO    SenderThread:8884 [sender.py:transition_state():626] send defer: 1
2023-07-26 12:09:25,273 DEBUG   HandlerThread:8884 [handler.py:handle_request():144] handle_request: defer
2023-07-26 12:09:25,273 INFO    HandlerThread:8884 [handler.py:handle_request_defer():170] handle defer: 1
2023-07-26 12:09:25,274 DEBUG   SenderThread:8884 [sender.py:send_request():402] send_request: defer
2023-07-26 12:09:25,274 INFO    SenderThread:8884 [sender.py:send_request_defer():622] handle sender defer: 1
2023-07-26 12:09:25,274 INFO    SenderThread:8884 [sender.py:transition_state():626] send defer: 2
2023-07-26 12:09:25,274 DEBUG   HandlerThread:8884 [handler.py:handle_request():144] handle_request: defer
